SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
24,DC:A6:32:33:AC:6C,37:47.3,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,24,DC:A6:32:33:AC:6C,6/29/2020 22:10,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-77
25,DC:A6:32:33:AC:6C,37:48.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-6,,25,DC:A6:32:33:AC:6C,6/29/2020 22:10,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
26,DC:A6:32:33:AC:6C,37:49.2,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-6,,26,DC:A6:32:33:AC:6C,6/29/2020 22:10,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-85
27,DC:A6:32:33:AC:6C,37:50.0,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-31,,27,DC:A6:32:33:AC:6C,6/29/2020 22:10,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-68
28,DC:A6:32:33:AC:6C,37:51.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,28,DC:A6:32:33:AC:6C,6/29/2020 22:10,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
29,DC:A6:32:33:AC:6C,37:52.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,29,DC:A6:32:33:AC:6C,6/29/2020 22:10,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
Scan Info: ,,,,,,,,,Scan Info: ,,,,,,,
RPI Distance (m),0,,,,,,,,RPI Distance (m),1.5,,,,,,
Advertiser Beacon Timeout (s),60,,,,,,,,Advertiser Beacon Timeout (s),60,,,,,,
Advertiser TX_Power,1,,,,,,,,Advertiser TX_Power,1,,,,,,
Major,1,,,,,,,,Major,1,,,,,,
Minor,1,,,,,,,,Minor,1,,,,,,
Advertise Interval,200,,,,,,,,Advertise Interval,200,,,,,,
,,,,,,,,,,,,,,,,
Scanner Beacon Timeout (s),30,,,,,,,,Scanner Beacon Timeout (s),30,,,,,,
Revisit (Scaner Interval),1,,,,,,,,Revisit (Scaner Interval),1,,,,,,
Filters,None,,,,,,,,Filters,None,,,,,,
